model_id,brand,model,title,model_year,diagonal_inches,vesa_width_mm,vesa_height_mm,screw_group,thread,measurement_kind,length_mm,engagement_min_mm,engagement_max_mm,range_label,quantity,adapters_status,required_parts_note,vesa_source_conflict,conflict_note,source_region,checked_at,source_label,source_url,secondary_source_label,secondary_source_url
hisense-43e7s,Hisense,43E7S,Hisense 43E7S,2026,43,200,300,Четыре точки VESA,M6,engagement_range,,8,10,,4,not_required,,false,,Россия,2026-07-31,"Российское руководство Hisense E7S, стр. 3 раздела монтажа (PDF 7)",https://cdn.hisense.ru/upload/file_tovar/Service/User%20Manuals/TV/E7S/20169773_43%2650%2655E77SL_RU-43%2650%2655E7S_RU-65%267%2685E7S_Rus.pdf,,
hisense-50e7s,Hisense,50E7S,Hisense 50E7S,2026,50,200,400,Четыре точки VESA,M6,engagement_range,,8,10,,4,not_required,Перед установкой руководство требует вкрутить две комплектные монтажные детали в верхние отверстия; распорные детали и винты кронштейна в комплект телевизора не входят.,false,,Россия,2026-07-31,"Российское руководство Hisense E7S/E77SL, стр. 3 раздела монтажа (PDF 7)",https://cdn.hisense.ru/upload/file_tovar/Service/User%20Manuals/TV/E7S/20169773_43%2650%2655E77SL_RU-43%2650%2655E7S_RU-65%267%2685E7S_Rus.pdf,,
hisense-50u77sl,Hisense,50U77SL,Hisense 50U77SL,2026,50,400,300,Четыре точки VESA,M6,engagement_range,,9.5,11.5,,4,not_required,Руководство требует разместить промежуточные вставки между телевизором и кронштейном.,false,,Россия,2026-07-31,"Российское руководство Hisense U77SL/U7S, стр. 2 раздела монтажа (PDF 6)",https://cdn.hisense.ru/upload/file_tovar/Service/User%20Manuals/TV/U77SL/20170325_50%2655U77SL_RU-50%2655U7S_RU-65%2675%2685U7S_Rus.pdf,,
hisense-55e77sl,Hisense,55E77SL,Hisense 55E77SL,2026,55,200,400,Четыре точки VESA,M6,engagement_range,,8,10,,4,not_required,Перед установкой руководство требует вкрутить две комплектные монтажные детали в верхние отверстия; распорные детали и винты кронштейна в комплект телевизора не входят.,false,,Россия,2026-07-31,"Российское руководство Hisense E77SL/E7S, стр. 3 раздела монтажа (PDF 7)",https://cdn.hisense.ru/upload/file_tovar/Service/User%20Manuals/TV/E7S/20169773_43%2650%2655E77SL_RU-43%2650%2655E7S_RU-65%267%2685E7S_Rus.pdf,,
hisense-55e7s,Hisense,55E7S,Hisense 55E7S,2026,55,200,400,Четыре точки VESA,M6,engagement_range,,8,10,,4,not_required,Перед установкой руководство требует вкрутить две комплектные монтажные детали в верхние отверстия; распорные детали и винты кронштейна в комплект телевизора не входят.,false,,Россия,2026-07-31,"Российское руководство Hisense E7S/E77SL, стр. 3 раздела монтажа (PDF 7)",https://cdn.hisense.ru/upload/file_tovar/Service/User%20Manuals/TV/E7S/20169773_43%2650%2655E77SL_RU-43%2650%2655E7S_RU-65%267%2685E7S_Rus.pdf,,
hisense-55u7q,Hisense,55U7Q,Hisense 55U7Q,2025,55,400,200,Четыре точки VESA,M6,engagement_range,,9.5,11.5,,4,not_required,Руководство требует разместить промежуточные вставки между телевизором и кронштейном.,false,,Россия,2026-07-31,"Российское руководство Hisense U7Q, стр. 4 раздела монтажа (PDF 10)",https://cdn.hisense.ru/upload/file_tovar/Service/User%20Manuals/TV/u7q/U7Q.pdf,,
hisense-55u7s,Hisense,55U7S,Hisense 55U7S,2026,55,200,300,Четыре точки VESA,M6,engagement_range,,9.5,11.5,,4,not_required,Руководство требует разместить промежуточные вставки между телевизором и кронштейном.,false,,Россия,2026-07-31,"Российское руководство Hisense U7S, стр. 2 раздела монтажа (PDF 6)",https://cdn.hisense.ru/upload/file_tovar/Service/User%20Manuals/TV/U7S/20170325_50%2655U77SL_RU-50%2655U7S_RU-65%2675%2685U7S_Rus.pdf,,
hisense-55u7s-pro,Hisense,55U7S PRO,Hisense 55U7S PRO,2026,55,400,300,Четыре точки по руководству,M6,engagement_range,,9.5,11.5,,4,not_required,Руководство требует разместить промежуточные вставки между телевизором и кронштейном.,true,До монтажа измерьте расстояние между центрами отверстий или сверьте бумажную инструкцию именно вашего экземпляра.,Россия,2026-07-31,"Российское руководство Hisense U7S PRO, стр. 3 раздела монтажа (PDF 7)",https://cdn.hisense.ru/upload/file_tovar/Service/User%20Manuals/TV/U7S_PRO/20186350_55-65-75-85U7S_PRO_Rus.pdf,,
hisense-65u77sl,Hisense,65U77SL,Hisense 65U77SL,2026,65,400,300,Четыре точки по руководству поддержки,M6,engagement_range,,9.5,11.5,,4,not_required,Руководство требует разместить промежуточные вставки между телевизором и кронштейном.,false,,Россия,2026-07-31,"Поддержка Hisense 65U77SL → руководство U77SL/U7S, стр. 2 раздела монтажа (PDF 6)",https://cdn.hisense.ru/upload/file_tovar/Service/User%20Manuals/TV/U77SL/20170325_50%2655U77SL_RU-50%2655U7S_RU-65%2675%2685U7S_Rus.pdf,,
hisense-65u7q,Hisense,65U7Q,Hisense 65U7Q,2025,65,400,400,Четыре точки VESA,M6,engagement_range,,9.5,11.5,L,4,unknown,"Руководство требует разместить промежуточные вставки между телевизором и кронштейном; их количество, размер и комплектность не указаны.",false,,Россия,2026-07-31,"Поддержка Hisense 65U7Q → руководство U7Q, стр. 4 раздела монтажа (PDF 10)",https://cdn.hisense.ru/upload/file_tovar/Service/User%20Manuals/TV/u7q/U7Q.pdf,Поддержка точной модели Hisense 65U7Q,https://ru.hisense.com/support/downloads/?ACTION=start&ID=8663&PARENT_SECTION=10
