model_id,brand,model,title,series,model_year,diagonal_inches,weight_without_stand_kg,vesa_width_mm,vesa_height_mm,vesa_source_conflict,conflicting_catalog_value,conflicting_manual_value,conflict_note,checked_at,source_label,source_url,krepitv_model_url
hisense-32a4s,Hisense,32A4S,Hisense 32A4S,A4S,2026,32,3.4,100,100,false,,,,2026-08-04,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/32A4S/,https://krepitv.ru/modeli/hisense-32a4s/
hisense-32e44sl,Hisense,32E44SL,Hisense 32E44SL,E44SL,2026,32,3.4,100,100,false,,,,2026-08-04,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/32E44SL/,https://krepitv.ru/modeli/hisense-32e44sl/
hisense-32e55sl,Hisense,32E55SL,Hisense 32E55SL,E55SL,2026,32,3.5,100,100,false,,,,2026-08-04,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/32E55SL/,https://krepitv.ru/modeli/hisense-32e55sl/
hisense-43e66sl,Hisense,43E66SL,Hisense 43E66SL,E66SL,2026,43,5.9,200,300,false,,,,2026-08-04,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/43E66SL/,https://krepitv.ru/modeli/hisense-43e66sl/
hisense-43e7s,Hisense,43E7S,Hisense 43E7S,E7S,2026,43,5.9,200,300,false,,,,2026-07-30,Официальные характеристики Hisense,https://ru.hisense.com/catalog/tvs/43E7S/,https://krepitv.ru/modeli/hisense-43e7s/
hisense-50e7s,Hisense,50E7S,Hisense 50E7S,E7S,2026,50,8,200,400,false,,,,2026-07-30,Официальные характеристики Hisense,https://ru.hisense.com/catalog/tvs/50E7S/,https://krepitv.ru/modeli/hisense-50e7s/
hisense-50u77sl,Hisense,50U77SL,Hisense 50U77SL,U77SL,2026,50,10.6,400,300,false,,,,2026-07-30,Официальные характеристики Hisense,https://ru.hisense.com/catalog/tvs/50U77SL/,https://krepitv.ru/modeli/hisense-50u77sl/
hisense-55e77sl,Hisense,55E77SL,Hisense 55E77SL,E77SL,2026,55,9.3,200,400,false,,,,2026-07-30,Официальные характеристики Hisense,https://ru.hisense.com/catalog/tvs/55E77SL/,https://krepitv.ru/modeli/hisense-55e77sl/
hisense-55e7s,Hisense,55E7S,Hisense 55E7S,E7S,2026,55,9.3,200,400,false,,,,2026-07-30,Официальные характеристики Hisense,https://ru.hisense.com/catalog/tvs/55E7S/,https://krepitv.ru/modeli/hisense-55e7s/
hisense-55u7q,Hisense,55U7Q,Hisense 55U7Q,U7Q,2025,55,14,400,200,false,,,,2026-07-30,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/55U7Q/,https://krepitv.ru/modeli/hisense-55u7q/
hisense-55u7s,Hisense,55U7S,Hisense 55U7S,U7S,2026,55,13.6,200,300,false,,,,2026-07-30,Официальные характеристики Hisense,https://ru.hisense.com/catalog/tvs/55U7S/,https://krepitv.ru/modeli/hisense-55u7s/
hisense-55u7s-pro,Hisense,55U7S PRO,Hisense 55U7S PRO,U7S PRO,2026,55,14.1,400,300,true,400×300 мм,400×400 мм,До монтажа измерьте расстояние между центрами отверстий или сверьте бумажную инструкцию именно вашего экземпляра.,2026-07-30,Официальные характеристики Hisense,https://ru.hisense.com/catalog/tvs/55U7SPRO/,https://krepitv.ru/modeli/hisense-55u7s-pro/
hisense-55u8q,Hisense,55U8Q,Hisense 55U8Q,U8Q,2025,55,17.9,400,400,false,,,,2026-07-30,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/55U8Q/,https://krepitv.ru/modeli/hisense-55u8q/
hisense-65u77sl,Hisense,65U77SL,Hisense 65U77SL,U77SL,2026,65,18.6,400,300,false,,,,2026-07-30,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/65U77SL/,https://krepitv.ru/modeli/hisense-65u77sl/
hisense-65u7q,Hisense,65U7Q,Hisense 65U7Q,U7Q,2025,65,19.5,400,400,false,,,,2026-07-30,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/65U7Q/,https://krepitv.ru/modeli/hisense-65u7q/
hisense-65u7s,Hisense,65U7S,Hisense 65U7S,U7S,2026,65,18.6,400,300,false,,,,2026-07-30,Официальные характеристики Hisense,https://ru.hisense.com/catalog/tvs/65U7S/,https://krepitv.ru/modeli/hisense-65u7s/
hisense-65u8q,Hisense,65U8Q,Hisense 65U8Q,U8Q,2025,65,24.4,400,400,false,,,,2026-07-30,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/65U8Q/,https://krepitv.ru/modeli/hisense-65u8q/
hisense-65ur9s,Hisense,65UR9S,Hisense 65UR9S,UR9S,2026,65,24.4,400,400,false,,,,2026-07-30,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/65UR9S/,https://krepitv.ru/modeli/hisense-65ur9s/
hisense-75u7q,Hisense,75U7Q,Hisense 75U7Q,U7Q,2025,75,27.5,600,400,false,,,,2026-07-30,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/75U7Q/,https://krepitv.ru/modeli/hisense-75u7q/
hisense-85e7s,Hisense,85E7S,Hisense 85E7S,E7S,2026,85,26.9,500,400,false,,,,2026-08-04,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/85E7S/,https://krepitv.ru/modeli/hisense-85e7s/
