model_id,brand,model,title,series,model_year,diagonal_inches,passport_mass_kg,weight_basis,vesa_width_mm,vesa_height_mm,vesa_source_conflict,conflicting_catalog_value,conflicting_manual_value,conflict_note,checked_at,source_label,source_url,krepitv_model_url
akai-ta32bh500,AKAI,TA32BH500,AKAI TA32BH500,BH500,2024,32,3.35,with_stand,100,100,false,,,,2026-08-04,Официальные характеристики AKAI,https://akai.ru/index.php?product_id=292&route=product%2Fproduct,https://krepitv.ru/modeli/akai-ta32bh500/
asano-32lh1110t,Asano,32LH1110T,Asano 32LH1110T,LH1110T,,32,4.25,published_unspecified,200,100,false,,,,2026-08-05,"Руководство по эксплуатации Asano 32LH1110T, стр. 4–5",https://www.technopark.ru/photos/768718/instruction/instrukciya-televizor-asano-32lh1110t-768718.pdf,https://krepitv.ru/modeli/asano-32lh1110t/
bbk-32lem-1045-ts2c,BBK,32LEM-1045/TS2C,BBK 32LEM-1045/TS2C,LEM-1045,,31.5,3.3,with_stand,200,100,false,,,,2026-08-05,Официальная карточка BBK,https://bbk.ru/production/tv_audio_video/led_tv/32lem_1045_ts2c/,https://krepitv.ru/modeli/bbk-32lem-1045-ts2c/
bbk-32lem-1075-ts2c,BBK,32LEM-1075/TS2C,BBK 32LEM-1075/TS2C,LEM-1075,,31.5,3.2,with_stand,100,100,false,,,,2026-08-05,Официальная карточка BBK,https://bbk.ru/production/tv_audio_video/led_tv/32lem_1075_ts2c/,https://krepitv.ru/modeli/bbk-32lem-1075-ts2c/
bbk-32lex-7235-fts2c,BBK,32LEX-7235/FTS2C,BBK 32LEX-7235/FTS2C,LEX-7235,,32,3.35,with_stand,100,100,false,,,,2026-08-05,Официальная карточка BBK,https://bbk.ru/production/tv_audio_video/led_tv/32lex_7235_fts2c/,https://krepitv.ru/modeli/bbk-32lex-7235-fts2c/
bbk-32lex-7244-ts2c,BBK,32LEX-7244/TS2C,BBK 32LEX-7244/TS2C,LEX-7244,,31.5,3.2,with_stand,200,100,false,,,,2026-08-05,Официальная карточка BBK,https://bbk.ru/production/tv_audio_video/led_tv/32lex_7244_ts2c/,https://krepitv.ru/modeli/bbk-32lex-7244-ts2c/
bbk-40lem-1030-fts2c,BBK,40LEM-1030/FTS2C,BBK 40LEM-1030/FTS2C,LEM-1030,,40,4.5,with_stand,100,100,false,,,,2026-08-05,Официальная карточка BBK,https://bbk.ru/production/tv_audio_video/led_tv/40lem_1030_fts2c/,https://krepitv.ru/modeli/bbk-40lem-1030-fts2c/
bbk-43lex-7247-fts2c,BBK,43LEX-7247/FTS2C,BBK 43LEX-7247/FTS2C,LEX-7247,,43,6.2,with_stand,200,100,false,,,,2026-08-05,Официальная карточка BBK,https://bbk.ru/production/tv_audio_video/led_tv/43lex_7247_fts2c/,https://krepitv.ru/modeli/bbk-43lex-7247-fts2c/
blackton-bt-24fs34b,Blackton,Bt 24FS34B,Blackton Bt 24FS34B,FS34B,,24,2.1,published_unspecified,100,100,false,,,,2026-08-04,Официальные характеристики Blackton,https://www.blackton.tv/catalog/tv/bt-24fs34b/,https://krepitv.ru/modeli/blackton-bt-24fs34b/
bq-32f40b,BQ,32F40B,BQ 32F40B,F40B,,32,3.1,published_unspecified,100,100,false,,,,2026-08-04,Официальные характеристики BQ,https://bq.ru/catalog/televizory/vse-televizory/bq-32f40b/,https://krepitv.ru/modeli/bq-32f40b/
candy-uno-32,Candy,Uno 32,Candy Uno 32,Uno,,32,4,without_stand,200,100,false,,,,2026-08-05,"Руководство пользователя Candy Uno 32, стр. 7 и 23",https://manual.holod.ru/manual/337/1096211_8140811.pdf,https://krepitv.ru/modeli/candy-uno-32/
candy-uno-43-uhd,Candy,Uno 43 UHD,Candy Uno 43 UHD,Uno,,43,6.43,without_stand,200,200,false,,,,2026-08-05,"Руководство по эксплуатации Candy Uno 43 UHD, таблица спецификации, стр. 70",https://mcgrp.ru/files/viewer/1035282/70,https://krepitv.ru/modeli/candy-uno-43-uhd/
digma-dm-led32sbb39,DIGMA,DM-LED32SBB39,DIGMA DM-LED32SBB39,DM-LED,,32,3.6,without_stand,200,200,false,,,,2026-08-04,Официальные характеристики DIGMA,https://digma.ru/catalog/tv/tvs/dm-led32sbb39-2024401/,https://krepitv.ru/modeli/digma-dm-led32sbb39/
harper-24r470t,HARPER,24R470T,HARPER 24R470T,R470T,,24,2.3,published_unspecified,100,100,false,,,,2026-08-04,Официальные характеристики HARPER,https://harper.ru/24r470t/,https://krepitv.ru/modeli/harper-24r470t/
harper-32r670t,HARPER,32R670T,HARPER 32R670T,R670T,,32,3.5,published_unspecified,200,200,false,,,,2026-08-04,Официальные характеристики HARPER,https://harper.ru/32r670t/,https://krepitv.ru/modeli/harper-32r670t/
harper-40f720t,HARPER,40F720T,HARPER 40F720T,F720T,,40,4.8,published_unspecified,200,100,false,,,,2026-08-04,Официальные характеристики HARPER,https://harper.ru/40f720t/,https://krepitv.ru/modeli/harper-40f720t/
harper-43f670ts,HARPER,43F670TS,HARPER 43F670TS,F670TS,,43,5.3,published_unspecified,200,200,false,,,,2026-08-04,Официальные характеристики HARPER,https://harper.ru/43f670ts/,https://krepitv.ru/modeli/harper-43f670ts/
hi-hs-32f01fb,Hi,HS-32F01FB,Hi HS-32F01FB,HS,2025,32,3.6,without_stand,200,200,false,,,,2026-08-05,Официальная инструкция и карточка Hi на сайте владельца бренда,https://static.mvideo.ru/ins/400514044.pdf,https://krepitv.ru/modeli/hi-hs-32f01fb/
hi-ht-32h01fb,Hi,HT-32H01FB,Hi HT-32H01FB,HT,2024,32,3.3,without_stand,200,200,false,,,,2026-08-05,Официальная карточка Hi на сайте владельца бренда,https://www.mvideo.ru/bff/product-details?productId=10033074,https://krepitv.ru/modeli/hi-ht-32h01fb/
hi-hx-24h01fb,Hi,HX-24H01FB,Hi HX-24H01FB,HX,,24,2.2,published_unspecified,100,100,false,,,,2026-08-05,Официальная инструкция Hi,https://static.mvideo.ru/ins/10033080.pdf,https://krepitv.ru/modeli/hi-hx-24h01fb/
hi-hx-32h01fb,Hi,HX-32H01FB,Hi HX-32H01FB,HX,2024,32,3.3,without_stand,100,100,false,,,,2026-08-05,Официальная карточка Hi на сайте владельца бренда,https://www.mvideo.ru/bff/product-details?productId=10033073,https://krepitv.ru/modeli/hi-hx-32h01fb/
hi-hx-43f01fb,Hi,HX-43F01FB,Hi HX-43F01FB,HX,,43,5.4,published_unspecified,200,200,false,,,,2026-08-05,Официальная инструкция Hi,https://static.mvideo.ru/ins/10033083.pdf,https://krepitv.ru/modeli/hi-hx-43f01fb/
hi-hy-40f01fb,Hi,HY-40F01FB,Hi HY-40F01FB,HY,2024,40,4.5,without_stand,100,100,false,,,,2026-08-05,Официальная инструкция и карточка Hi на сайте владельца бренда,https://static.mvideo.ru/ins/10033082.pdf,https://krepitv.ru/modeli/hi-hy-40f01fb/
hisense-32a4s,Hisense,32A4S,Hisense 32A4S,A4S,2026,32,3.4,without_stand,100,100,false,,,,2026-08-04,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/32A4S/,https://krepitv.ru/modeli/hisense-32a4s/
hisense-32e44sl,Hisense,32E44SL,Hisense 32E44SL,E44SL,2026,32,3.4,without_stand,100,100,false,,,,2026-08-04,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/32E44SL/,https://krepitv.ru/modeli/hisense-32e44sl/
hisense-32e55sl,Hisense,32E55SL,Hisense 32E55SL,E55SL,2026,32,3.5,without_stand,100,100,false,,,,2026-08-04,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/32E55SL/,https://krepitv.ru/modeli/hisense-32e55sl/
hisense-40a4s,Hisense,40A4S,Hisense 40A4S,A4S,2026,40,4.7,without_stand,100,200,false,,,,2026-08-20,Официальная карточка Hisense 40A4S,https://ru.hisense.com/catalog/tvs/40A4S/,https://krepitv.ru/modeli/hisense-40a4s/
hisense-40e44sl,Hisense,40E44SL,Hisense 40E44SL,E44SL,2026,40,4.7,without_stand,100,200,false,,,,2026-08-20,Официальная карточка Hisense 40E44SL,https://ru.hisense.com/catalog/tvs/40E44SL/,https://krepitv.ru/modeli/hisense-40e44sl/
hisense-43e66sl,Hisense,43E66SL,Hisense 43E66SL,E66SL,2026,43,5.9,without_stand,200,300,false,,,,2026-08-04,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/43E66SL/,https://krepitv.ru/modeli/hisense-43e66sl/
hisense-43e7s,Hisense,43E7S,Hisense 43E7S,E7S,2026,43,5.9,without_stand,200,300,false,,,,2026-07-30,Официальные характеристики Hisense,https://ru.hisense.com/catalog/tvs/43E7S/,https://krepitv.ru/modeli/hisense-43e7s/
hisense-50e77sl-pro,Hisense,50E77SL PRO,Hisense 50E77SL PRO,E77SL PRO,2026,50,10.1,without_stand,400,300,false,,,,2026-08-05,Официальные характеристики Hisense 50E77SL PRO,https://ru.hisense.com/catalog/tvs/50E77SLPRO/,https://krepitv.ru/modeli/hisense-50e77sl-pro/
hisense-50e7s,Hisense,50E7S,Hisense 50E7S,E7S,2026,50,8,without_stand,200,400,false,,,,2026-07-30,Официальные характеристики Hisense,https://ru.hisense.com/catalog/tvs/50E7S/,https://krepitv.ru/modeli/hisense-50e7s/
hisense-50u77sl,Hisense,50U77SL,Hisense 50U77SL,U77SL,2026,50,10.6,without_stand,400,300,false,,,,2026-07-30,Официальные характеристики Hisense,https://ru.hisense.com/catalog/tvs/50U77SL/,https://krepitv.ru/modeli/hisense-50u77sl/
hisense-55e77sl,Hisense,55E77SL,Hisense 55E77SL,E77SL,2026,55,9.3,without_stand,200,400,false,,,,2026-07-30,Официальные характеристики Hisense,https://ru.hisense.com/catalog/tvs/55E77SL/,https://krepitv.ru/modeli/hisense-55e77sl/
hisense-55e7s,Hisense,55E7S,Hisense 55E7S,E7S,2026,55,9.3,without_stand,200,400,false,,,,2026-07-30,Официальные характеристики Hisense,https://ru.hisense.com/catalog/tvs/55E7S/,https://krepitv.ru/modeli/hisense-55e7s/
hisense-55u7q,Hisense,55U7Q,Hisense 55U7Q,U7Q,2025,55,14,without_stand,400,200,false,,,,2026-07-30,Официальные российские характеристики Hisense,https://ru.hisense.com/catalog/tvs/55U7Q/,https://krepitv.ru/modeli/hisense-55u7q/
hisense-55u7s,Hisense,55U7S,Hisense 55U7S,U7S,2026,55,13.6,without_stand,200,300,false,,,,2026-07-30,Официальные характеристики Hisense,https://ru.hisense.com/catalog/tvs/55U7S/,https://krepitv.ru/modeli/hisense-55u7s/
