candidate_id,candidate_path,query,variant,operator_query,seo_frequency,returned_phrase,frequency_status,match_method,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"mount-90-turn","/vyl-et-kronshteyna-dlya-povorota-televizora/","вылет кронштейна для поворота телевизора","phrase_ordered","""[вылет кронштейна для поворота телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-90-turn","/vyl-et-kronshteyna-dlya-povorota-televizora/","кронштейн для телевизора поворот на 90 градусов","phrase_ordered","""[кронштейн для телевизора поворот на 90 градусов]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-cable-length","/dlina-kabelya-dlya-televizora-na-kronshteyne/","длина кабеля для телевизора на кронштейне","phrase_ordered","""[длина кабеля для телевизора на кронштейне]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-cable-length","/dlina-kabelya-dlya-televizora-na-kronshteyne/","какой длины hdmi кабель нужен для телевизора на стене","phrase_ordered","""[какой длины hdmi кабель нужен для телевизора на стене]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-comparison","/podoydet-li-staryy-kronshteyn-k-novomu-televizoru/","можно ли повесить телевизор 65 на кронштейн 55","phrase_ordered","""[можно ли повесить телевизор 65 на кронштейн 55]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-comparison","/podoydet-li-staryy-kronshteyn-k-novomu-televizoru/","подойдет ли старый кронштейн к новому телевизору","phrase_ordered","""[подойдет ли старый кронштейн к новому телевизору]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-eye-level","/vysota-televizora-nad-tumboy/","на какой высоте вешать телевизор над тумбой","phrase_ordered","""[на какой высоте вешать телевизор над тумбой]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-height-offset","/razmetka-vysoty-kronshteyna-dlya-televizora/","на какой высоте крепить кронштейн для телевизора","phrase_ordered","""[на какой высоте крепить кронштейн для телевизора]""","26","на какой высоте крепить кронштейн для телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-height-offset","/razmetka-vysoty-kronshteyna-dlya-televizora/","высота отверстий кронштейна для телевизора","phrase_ordered","""[высота отверстий кронштейна для телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-hollow-brick","/televizor-na-pustotelyy-kirpich/","как повесить телевизор на пустотелый кирпич","phrase_ordered","""[как повесить телевизор на пустотелый кирпич]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-insulated-wall","/televizor-na-stenu-s-uteplitelem/","крепление телевизора через утеплитель","phrase_ordered","""[крепление телевизора через утеплитель]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-outlet-conflict","/rozetka-meshaet-kronshteynu-televizora/","кронштейн перекрывает розетку за телевизором","phrase_ordered","""[кронштейн перекрывает розетку за телевизором]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-outlet-conflict","/rozetka-meshaet-kronshteynu-televizora/","розетка мешает кронштейну телевизора","phrase_ordered","""[розетка мешает кронштейну телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-pgp-wall","/televizor-na-pazogrebnevuyu-plitu/","как повесить телевизор на пазогребневую плиту","phrase_ordered","""[как повесить телевизор на пазогребневую плиту]""","19","как повесить телевизор на пазогребневую плиту","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-port-access","/dostup-k-razemam-televizora-na-stene/","как подключить кабель к телевизору на стене","phrase_ordered","""[как подключить кабель к телевизору на стене]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-port-access","/dostup-k-razemam-televizora-na-stene/","неудобно подключать hdmi к телевизору на стене","phrase_ordered","""[неудобно подключать hdmi к телевизору на стене]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-recess","/kronshteyn-dlya-televizora-v-nishe/","как повесить телевизор в нише","phrase_ordered","""[как повесить телевизор в нише]""","24","как повесить телевизор в нише","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-recess","/kronshteyn-dlya-televizora-v-nishe/","кронштейн для телевизора в нише","phrase_ordered","""[кронштейн для телевизора в нише]""","21","кронштейн для телевизора в нишу","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-screw-recess","/kreplenie-televizora-s-utoplennymi-vesa-otverstiyami/","проставки для кронштейна телевизора","phrase_ordered","""[проставки для кронштейна телевизора]""","72","проставки для кронштейна телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-screw-recess","/kreplenie-televizora-s-utoplennymi-vesa-otverstiyami/","утопленные отверстия vesa телевизора","phrase_ordered","""[утопленные отверстия vesa телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-small-vesa-adapter","/perekhodnik-vesa-dlya-televizora/","переходник vesa для телевизора","phrase_ordered","""[переходник vesa для телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-soundbar-clearance","/rasstoyanie-mezhdu-televizorom-i-saundbarom/","расстояние между телевизором и саундбаром","phrase_ordered","""[расстояние между телевизором и саундбаром]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-stud-spacing","/shag-stoek-dlya-kronshteyna-televizora/","кронштейн для телевизора расстояние между стойками","phrase_ordered","""[кронштейн для телевизора расстояние между стойками]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-table-clearance","/otstup-televizora-ot-potolka-pri-montazhe/","расстояние от телевизора до потолка при монтаже","phrase_ordered","""[расстояние от телевизора до потолка при монтаже]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-tile-wall","/televizor-na-stenu-s-plitkoy/","как повесить телевизор на плитку","phrase_ordered","""[как повесить телевизор на плитку]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-ventilation","/ventilyatsionnyy-zazor-televizora-na-stene/","расстояние телевизора от стены для вентиляции","phrase_ordered","""[расстояние телевизора от стены для вентиляции]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-vesa-200x100","/vesa/200x100/","vesa 200x100 кронштейн","phrase_ordered","""[vesa 200x100 кронштейн]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-vesa-400x200","/vesa/400x200/","vesa 400x200 кронштейн","phrase_ordered","""[vesa 400x200 кронштейн]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-vesa-400x300","/vesa/400x300/","vesa 400x300 кронштейн","phrase_ordered","""[vesa 400x300 кронштейн]""","130","vesa 400x300 кронштейн","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-wall-clearance","/zazor-mezhdu-televizorom-i-stenoy/","зазор между телевизором и стеной на кронштейне","phrase_ordered","""[зазор между телевизором и стеной на кронштейне]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-wall-plate-width","/razmer-ploshchadki-kronshteyna-na-stene/","размер настенной площадки кронштейна для телевизора","phrase_ordered","""[размер настенной площадки кронштейна для телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
"mount-wood-wall","/televizor-na-derevyannuyu-stenu/","как повесить телевизор на деревянную стену","phrase_ordered","""[как повесить телевизор на деревянную стену]""","29","как повесить телевизор на деревянной стене","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:31:11.672Z","https://wordstat.yandex.ru/"
