candidate_id,candidate_path,query,variant,operator_query,seo_frequency,returned_phrase,frequency_status,match_method,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"mount-arm-weight","/ves-televizora-na-vydvizhnom-kronshteyne/","нагрузка на выдвижной кронштейн для телевизора","phrase_ordered","""[нагрузка на выдвижной кронштейн для телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"mount-cables","/dlina-kabelya-dlya-televizora-na-kronshteyne/","кабель для телевизора на кронштейне","phrase_ordered","""[кабель для телевизора на кронштейне]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"mount-cables","/dlina-kabelya-dlya-televizora-na-kronshteyne/","hdmi кабель для телевизора на стене","phrase_ordered","""[hdmi кабель для телевизора на стене]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"mount-hollow-brick","/televizor-na-pustotelyy-kirpich/","крепление телевизора на пустотелый кирпич","phrase_ordered","""[крепление телевизора на пустотелый кирпич]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"mount-low-profile","/tonkiy-kronshteyn-dlya-televizora/","тонкий кронштейн для телевизора","phrase_ordered","""[тонкий кронштейн для телевизора]""","211","тонкие кронштейны для телевизоров","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"mount-offset","/kronshteyn-so-smeshcheniem-ot-tsentra/","кронштейн для телевизора со смещением","phrase_ordered","""[кронштейн для телевизора со смещением]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"mount-offset","/kronshteyn-so-smeshcheniem-ot-tsentra/","телевизор не по центру кронштейна","phrase_ordered","""[телевизор не по центру кронштейна]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"mount-outlet","/rozetka-meshaet-kronshteynu-televizora/","розетка за кронштейном телевизора","phrase_ordered","""[розетка за кронштейном телевизора]""","84","розетка за кронштейном телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"mount-outlet","/rozetka-meshaet-kronshteynu-televizora/","розетка мешает повесить телевизор","phrase_ordered","""[розетка мешает повесить телевизор]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"mount-pgp","/televizor-na-pazogrebnevuyu-plitu/","кронштейн для телевизора на пазогребневую плиту","phrase_ordered","""[кронштейн для телевизора на пазогребневую плиту]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"mount-sip","/televizor-na-sip-panel/","телевизор на сип панель","phrase_ordered","""[телевизор на сип панель]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"mount-socket","/kronshteyn-dlya-televizora-s-rozetkoy/","кронштейн для телевизора с розеткой","phrase_ordered","""[кронштейн для телевизора с розеткой]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"mount-thin-wall","/televizor-na-tonkuyu-peregorodku/","телевизор на тонкую перегородку","phrase_ordered","""[телевизор на тонкую перегородку]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"mount-wallboard","/televizor-na-vagonku/","телевизор на вагонку","phrase_ordered","""[телевизор на вагонку]""","131","телевизор на вагонку","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"mount-wood","/televizor-na-derevyannuyu-stenu/","кронштейн для телевизора на деревянную стену","phrase_ordered","""[кронштейн для телевизора на деревянную стену]""","25","кронштейн для телевизора на деревянную стену","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"old-mount-new-tv","/podoydet-li-staryy-kronshteyn-k-novomu-televizoru/","старый кронштейн новый телевизор","phrase_ordered","""[старый кронштейн новый телевизор]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"oled-mount","/kronshteyn-dlya-oled-televizora/","кронштейн для oled телевизора","phrase_ordered","""[кронштейн для oled телевизора]""","93","кронштейн для oled телевизоров","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"oled-mount","/kronshteyn-dlya-oled-televizora/","крепление oled телевизора на стену","phrase_ordered","""[крепление oled телевизора на стену]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"tv-base","/nastolnaya-podstavka-dlya-televizora-vesa/","настольная подставка для телевизора vesa","phrase_ordered","""[настольная подставка для телевизора vesa]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"tv-base","/nastolnaya-podstavka-dlya-televizora-vesa/","подставка для телевизора вместо ножек","phrase_ordered","""[подставка для телевизора вместо ножек]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"vesa-200x300","/vesa/200x300/","vesa 200x300","phrase_ordered","""[vesa 200x300]""","383","vesa 200x300","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"vesa-300x100","/vesa/300x100/","vesa 300x100","phrase_ordered","""[vesa 300x100]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"vesa-600x300","/vesa/600x300/","vesa 600x300","phrase_ordered","""[vesa 600x300]""","75","vesa 600x300","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"vesa-adapter","/perekhodnik-vesa-dlya-televizora/","адаптер vesa для кронштейна","phrase_ordered","""[адаптер vesa для кронштейна]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
"vesa-adapter","/perekhodnik-vesa-dlya-televizora/","переходник vesa 100x100 200x200","phrase_ordered","""[переходник vesa 100x100 200x200]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:38:48.738Z","https://wordstat.yandex.ru/"
