candidate_id,candidate_path,query,variant,operator_query,seo_frequency,returned_phrase,frequency_status,match_method,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"mount-90-turn","/povorot-televizora-na-90-gradusov/","поворот телевизора на 90 градусов","phrase_ordered","""[поворот телевизора на 90 градусов]""","112","поворот телевизора на 90 градусов","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:35:50.436Z","https://wordstat.yandex.ru/"
"mount-cable-length","/dlina-kabelya-dlya-televizora-na-kronshteyne/","длина кабеля для телевизора","phrase_ordered","""[длина кабеля для телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:35:50.436Z","https://wordstat.yandex.ru/"
"mount-comparison","/podoydet-li-staryy-kronshteyn-k-novomu-televizoru/","подойдет ли кронштейн к телевизору","phrase_ordered","""[подойдет ли кронштейн к телевизору]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:35:50.436Z","https://wordstat.yandex.ru/"
"mount-eye-level","/vysota-televizora-nad-tumboy/","высота телевизора над тумбой","phrase_ordered","""[высота телевизора над тумбой]""","51","высота телевизора над тумбой","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:35:50.436Z","https://wordstat.yandex.ru/"
"mount-height-offset","/razmetka-vysoty-kronshteyna-dlya-televizora/","высота кронштейна телевизора","phrase_ordered","""[высота кронштейна телевизора]""","1209","высота кронштейна телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:35:50.436Z","https://wordstat.yandex.ru/"
"mount-hollow-brick","/televizor-na-pustotelyy-kirpich/","телевизор на пустотелый кирпич","phrase_ordered","""[телевизор на пустотелый кирпич]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:35:50.436Z","https://wordstat.yandex.ru/"
"mount-insulated-wall","/televizor-na-stenu-s-uteplitelem/","телевизор на утепленную стену","phrase_ordered","""[телевизор на утепленную стену]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:35:50.436Z","https://wordstat.yandex.ru/"
"mount-outlet-conflict","/rozetka-meshaet-kronshteynu-televizora/","розетка за телевизором","phrase_ordered","""[розетка за телевизором]""","1489","розетки за телевизором","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:35:50.436Z","https://wordstat.yandex.ru/"
"mount-pgp-wall","/televizor-na-pazogrebnevuyu-plitu/","телевизор на пазогребневую плиту","phrase_ordered","""[телевизор на пазогребневую плиту]""","60","телевизор на пазогребневую плиту","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:35:50.436Z","https://wordstat.yandex.ru/"
"mount-port-access","/dostup-k-razemam-televizora-na-stene/","доступ к разъемам телевизора","phrase_ordered","""[доступ к разъемам телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-23T15:35:50.436Z","https://wordstat.yandex.ru/"
