candidate_id,candidate_path,query,variant,operator_query,seo_frequency,returned_phrase,frequency_status,match_method,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"ceiling-tv-mount","/potolochnyy-kronshteyn-dlya-televizora/","потолочный кронштейн для телевизора","main","""[потолочный кронштейн для телевизора]""","1771","потолочный кронштейн для телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"corner-tv-mount","/televizor-v-uglu-komnaty/","угловой кронштейн для телевизора","mount","""[угловой кронштейн для телевизора]""","485","угловой кронштейн для телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"corner-tv-mount","/televizor-v-uglu-komnaty/","телевизор в углу комнаты","placement","""[телевизор в углу комнаты]""","222","телевизор в углу комнаты","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"crooked-tv-on-mount","/televizor-krivo-visit-na-kronshteyne/","телевизор криво висит на кронштейне","main","""[телевизор криво висит на кронштейне]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"diagonal-100","/kronshteyn-dlya-televizora-100-dyuyma/","кронштейн для телевизора 100 дюймов","main","""[кронштейн для телевизора 100 дюймов]""","224","кронштейн для телевизора 100 дюймов","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"mark-tv-mount-holes","/razmetka-kronshteyna-dlya-televizora/","как разметить кронштейн для телевизора","main","""[как разметить кронштейн для телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"mobile-tv-stand","/mobilnaya-stoyka-dlya-televizora/","мобильная стойка для телевизора","main","""[мобильная стойка для телевизора]""","661","мобильная стойка для телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"mobile-tv-stand","/mobilnaya-stoyka-dlya-televizora/","стойка для телевизора на колесиках","wheels","""[стойка для телевизора на колесиках]""","231","стойка для телевизора на колесиках","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"remove-tv-from-mount","/kak-snyat-televizor-s-kronshteyna/","как снять телевизор с кронштейна","main","""[как снять телевизор с кронштейна]""","2531","как снять телевизор с кронштейна","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"soundbar-mount","/kronshteyn-dlya-saundbara-k-televizoru/","кронштейн для саундбара","main","""[кронштейн для саундбара]""","584","кронштейн для саундбара","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"soundbar-mount","/kronshteyn-dlya-saundbara-k-televizoru/","как повесить саундбар под телевизором","how-to","""[как повесить саундбар под телевизором]""","21","как повесить саундбар под телевизор","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"tv-cable-reserve","/zapas-kabelya-za-televizorom/","запас кабеля за телевизором","main","""[запас кабеля за телевизором]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"tv-device-shelf","/polka-pod-televizor-na-stenu/","полка под телевизор на стену","main","""[полка под телевизор на стену]""","1609","полка под телевизор на стену","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"tv-installation-cost","/stoimost-ustanovki-televizora-na-stenu/","сколько стоит повесить телевизор на стену","main","""[сколько стоит повесить телевизор на стену]""","361","сколько стоит повесить телевизор на стену","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"tv-mount-depth","/vylot-kronshteyna-dlya-televizora/","вылет кронштейна для телевизора","main","""[вылет кронштейна для телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"tv-mount-level","/kak-vyrovnyat-televizor-na-kronshteyne/","как выровнять телевизор на кронштейне","main","""[как выровнять телевизор на кронштейне]""","19","как выровнять телевизор на кронштейне","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"tv-mount-load","/kakoy-ves-vyderzhivaet-kronshteyn-dlya-televizora/","какой вес выдерживает кронштейн для телевизора","main","""[какой вес выдерживает кронштейн для телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"tv-over-fireplace","/televizor-nad-kaminom/","телевизор над камином","main","""[телевизор над камином]""","310","телевизор над камином","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"tv-over-radiator","/televizor-nad-batareey/","телевизор над батареей","main","""[телевизор над батареей]""","78","телевизор над батареей","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"tv-ports-mount-clearance","/kronshteyn-perekryvaet-razemy-televizora/","кронштейн перекрывает разъемы телевизора","main","""[кронштейн перекрывает разъемы телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"tv-wall-center","/kak-otcentrovat-televizor-na-stene/","как отцентровать телевизор на стене","main","""[как отцентровать телевизор на стене]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"tv-wall-fasteners","/krepezh-dlya-televizora-na-stenu/","крепеж для телевизора на стену","main","""[крепеж для телевизора на стену]""","1485","крепеж для телевизора на стену","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"tv-wall-gap","/rasstoyanie-ot-televizora-do-steny/","расстояние от телевизора до стены","main","""[расстояние от телевизора до стены]""","402","расстояние от телевизора до стены","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"tv-wall-niche","/nisha-pod-televizor-razmery/","ниша под телевизор размеры","main","""[ниша под телевизор размеры]""","69","ниша под телевизор размеры","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"tv-wall-plate-size","/razmer-plastiny-kronshteyna-dlya-televizora/","размер пластины кронштейна для телевизора","main","""[размер пластины кронштейна для телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"tv-without-drilling","/kak-povesit-televizor-bez-sverleniya/","как повесить телевизор без сверления","main","""[как повесить телевизор без сверления]""","39","как повесить телевизор без сверления","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"vesa-100x100","/vesa/100x100/","кронштейн vesa 100x100","main","""[кронштейн vesa 100x100]""","614","кронштейн vesa 100x100","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"vesa-400x300","/vesa/400x300/","кронштейн vesa 400x300","main","""[кронштейн vesa 400x300]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"wall-material-check","/kak-opredelit-material-steny/","как определить материал стены","main","""[как определить материал стены]""","39","как определить материал стен","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
"wall-wiring-before-drilling","/kak-nayti-provodku-v-stene-pered-sverleniem/","как найти проводку в стене перед сверлением","main","""[как найти проводку в стене перед сверлением]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-09T05:24:37.041Z","https://wordstat.yandex.ru/"
