demand_rank,brand,model,series,diagonal_inches,operator_query,seo_frequency,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"1","TCL","55Q6CS","Q6CS","55","""[55Q6CS]""","2050","225","Россия","последние 30 дней на дату сбора","все устройства","2026-08-04T20:49:18.960Z","https://wordstat.yandex.ru/"
"2","Tuvio","TD43UFBHH13","TD UFBHH13","43","""[TD43UFBHH13]""","1211","225","Россия","последние 30 дней на дату сбора","все устройства","2026-08-04T20:49:18.960Z","https://wordstat.yandex.ru/"
"3","Tuvio","TD24HBCH11","TD HBCH11","24","""[TD24HBCH11]""","999","225","Россия","последние 30 дней на дату сбора","все устройства","2026-08-04T20:49:18.960Z","https://wordstat.yandex.ru/"
"4","Tuvio","TD50UFBHH12","TD UFBHH12","50","""[TD50UFBHH12]""","789","225","Россия","последние 30 дней на дату сбора","все устройства","2026-08-04T20:49:18.960Z","https://wordstat.yandex.ru/"
"5","TCL","55T8D","T8D","55","""[55T8D]""","618","225","Россия","последние 30 дней на дату сбора","все устройства","2026-08-04T20:49:18.960Z","https://wordstat.yandex.ru/"
"6","TCL","65Q7D","Q7D","65","""[65Q7D]""","567","225","Россия","последние 30 дней на дату сбора","все устройства","2026-08-04T20:49:18.960Z","https://wordstat.yandex.ru/"
"7","TCL","50V6C","V6C","50","""[50V6C]""","543","225","Россия","последние 30 дней на дату сбора","все устройства","2026-08-04T20:49:18.960Z","https://wordstat.yandex.ru/"
"8","Tuvio","TD32HFBCH12","TD HFBCH12","32","""[TD32HFBCH12]""","364","225","Россия","последние 30 дней на дату сбора","все устройства","2026-08-04T20:49:18.960Z","https://wordstat.yandex.ru/"
"9","Samsung","QE85QEF1AUXRU","QEF1","85","""[QE85QEF1AUXRU]""","284","225","Россия","последние 30 дней на дату сбора","все устройства","2026-08-04T20:49:18.960Z","https://wordstat.yandex.ru/"
"10","Tuvio","TQ65UFGHH13","TQ UFGHH13","65","""[TQ65UFGHH13]""","218","225","Россия","последние 30 дней на дату сбора","все устройства","2026-08-04T20:49:18.960Z","https://wordstat.yandex.ru/"
"11","Tuvio","TD50UFBHH11","TD UFBHH11","50","""[TD50UFBHH11]""","80","225","Россия","последние 30 дней на дату сбора","все устройства","2026-08-04T20:49:18.960Z","https://wordstat.yandex.ru/"
"12","TCL","32V4C","V4C","32","""[32V4C]""","47","225","Россия","последние 30 дней на дату сбора","все устройства","2026-08-04T20:49:18.960Z","https://wordstat.yandex.ru/"
"13","Digma","DM-LED32SBB39","SBB39","32","""[DM-LED32SBB39]""","0","225","Россия","последние 30 дней на дату сбора","все устройства","2026-08-04T20:49:18.960Z","https://wordstat.yandex.ru/"
"14","Hi","HT-32H01FB","HT H01FB","32","""[HT-32H01FB]""","0","225","Россия","последние 30 дней на дату сбора","все устройства","2026-08-04T20:49:18.960Z","https://wordstat.yandex.ru/"
"15","Hi","HY-40F01FB","HY F01FB","40","""[HY-40F01FB]""","0","225","Россия","последние 30 дней на дату сбора","все устройства","2026-08-04T20:49:18.960Z","https://wordstat.yandex.ru/"
"16","Sber","SDX-32H3114","H3114","32","""[SDX-32H3114]""","0","225","Россия","последние 30 дней на дату сбора","все устройства","2026-08-04T20:49:18.960Z","https://wordstat.yandex.ru/"
"17","Starwind","SW-LED32BG200","BG200","32","""[SW-LED32BG200]""","0","225","Россия","последние 30 дней на дату сбора","все устройства","2026-08-04T20:49:18.960Z","https://wordstat.yandex.ru/"
"18","Starwind","SW-LED40SG300","SG300","40","""[SW-LED40SG300]""","0","225","Россия","последние 30 дней на дату сбора","все устройства","2026-08-04T20:49:18.960Z","https://wordstat.yandex.ru/"
"19","TopDevice","TDHTV32GFD_BK","GFD","32","""[TDHTV32GFD_BK]""","0","225","Россия","последние 30 дней на дату сбора","все устройства","2026-08-04T20:49:18.960Z","https://wordstat.yandex.ru/"
"20","TopDevice","TDHTV32GHD_BK","GHD","32","""[TDHTV32GHD_BK]""","0","225","Россия","последние 30 дней на дату сбора","все устройства","2026-08-04T20:49:18.960Z","https://wordstat.yandex.ru/"
