candidate_id,candidate_path,query,variant,operator_query,seo_frequency,returned_phrase,frequency_status,match_method,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"hisense-50u77sl-how-to","/modeli/hisense-50u77sl/","как повесить Hisense 50U77SL на стену","how-to","""[как повесить Hisense 50U77SL на стену]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:06:09.193Z","https://wordstat.yandex.ru/"
"hisense-50u77sl-mount","/modeli/hisense-50u77sl/","кронштейн для телевизора Hisense 50U77SL","mount","""[кронштейн для телевизора Hisense 50U77SL]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:06:09.193Z","https://wordstat.yandex.ru/"
"hisense-50u77sl-screws","/modeli/hisense-50u77sl/","винты для Hisense 50U77SL","screws","""[винты для Hisense 50U77SL]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:06:09.193Z","https://wordstat.yandex.ru/"
"hisense-50u77sl-vesa","/modeli/hisense-50u77sl/","vesa Hisense 50U77SL","vesa","""[vesa Hisense 50U77SL]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:06:09.193Z","https://wordstat.yandex.ru/"
"hisense-50u77sl-wall","/modeli/hisense-50u77sl/","крепление на стену Hisense 50U77SL","wall","""[крепление на стену Hisense 50U77SL]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:06:09.193Z","https://wordstat.yandex.ru/"
"hisense-55e77sl-how-to","/modeli/hisense-55e77sl/","как повесить Hisense 55E77SL на стену","how-to","""[как повесить Hisense 55E77SL на стену]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:06:09.193Z","https://wordstat.yandex.ru/"
"hisense-55e77sl-mount","/modeli/hisense-55e77sl/","кронштейн для телевизора Hisense 55E77SL","mount","""[кронштейн для телевизора Hisense 55E77SL]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:06:09.193Z","https://wordstat.yandex.ru/"
"hisense-55e77sl-screws","/modeli/hisense-55e77sl/","винты для Hisense 55E77SL","screws","""[винты для Hisense 55E77SL]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:06:09.193Z","https://wordstat.yandex.ru/"
"hisense-55e77sl-vesa","/modeli/hisense-55e77sl/","vesa Hisense 55E77SL","vesa","""[vesa Hisense 55E77SL]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:06:09.193Z","https://wordstat.yandex.ru/"
"hisense-55e77sl-wall","/modeli/hisense-55e77sl/","крепление на стену Hisense 55E77SL","wall","""[крепление на стену Hisense 55E77SL]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:06:09.193Z","https://wordstat.yandex.ru/"
