candidate_id,candidate_path,query,variant,operator_query,seo_frequency,returned_phrase,frequency_status,match_method,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"hisense-55u7s-code-only","/modeli/hisense-55u7s/","55U7S кронштейн","code-only","""[55U7S кронштейн]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:11:26.031Z","https://wordstat.yandex.ru/"
"hisense-55u7s-for-brand","/modeli/hisense-55u7s/","кронштейн для Hisense 55U7S","for-brand","""[кронштейн для Hisense 55U7S]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:11:26.031Z","https://wordstat.yandex.ru/"
"hisense-55u7s-model-first","/modeli/hisense-55u7s/","Hisense 55U7S кронштейн","model-first","""[Hisense 55U7S кронштейн]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:11:26.031Z","https://wordstat.yandex.ru/"
"hisense-55u7s-pro-code-only","/modeli/hisense-55u7s-pro/","55U7S PRO кронштейн","code-only","""[55U7S PRO кронштейн]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:11:26.031Z","https://wordstat.yandex.ru/"
"hisense-55u7s-pro-for-brand","/modeli/hisense-55u7s-pro/","кронштейн для Hisense 55U7S PRO","for-brand","""[кронштейн для Hisense 55U7S PRO]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:11:26.031Z","https://wordstat.yandex.ru/"
"hisense-55u7s-pro-model-first","/modeli/hisense-55u7s-pro/","Hisense 55U7S PRO кронштейн","model-first","""[Hisense 55U7S PRO кронштейн]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:11:26.031Z","https://wordstat.yandex.ru/"
"hisense-55u7s-pro-short-brand-first","/modeli/hisense-55u7s-pro/","кронштейн Hisense 55U7S PRO","short-brand-first","""[кронштейн Hisense 55U7S PRO]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:11:26.031Z","https://wordstat.yandex.ru/"
"hisense-55u7s-pro-vesa-code","/modeli/hisense-55u7s-pro/","55U7S PRO vesa","vesa-code","""[55U7S PRO vesa]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:11:26.031Z","https://wordstat.yandex.ru/"
"hisense-55u7s-short-brand-first","/modeli/hisense-55u7s/","кронштейн Hisense 55U7S","short-brand-first","""[кронштейн Hisense 55U7S]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:11:26.031Z","https://wordstat.yandex.ru/"
"hisense-55u7s-vesa-code","/modeli/hisense-55u7s/","55U7S vesa","vesa-code","""[55U7S vesa]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:11:26.031Z","https://wordstat.yandex.ru/"
"hisense-65u7s-code-only","/modeli/hisense-65u7s/","65U7S кронштейн","code-only","""[65U7S кронштейн]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:11:26.031Z","https://wordstat.yandex.ru/"
"hisense-65u7s-for-brand","/modeli/hisense-65u7s/","кронштейн для Hisense 65U7S","for-brand","""[кронштейн для Hisense 65U7S]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:11:26.031Z","https://wordstat.yandex.ru/"
"hisense-65u7s-model-first","/modeli/hisense-65u7s/","Hisense 65U7S кронштейн","model-first","""[Hisense 65U7S кронштейн]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:11:26.031Z","https://wordstat.yandex.ru/"
