demand_rank,brand,model,query,catalog_id,reward_ui_rank,operator_query,seo_frequency,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"1","ONKRON","TM5","onkron tm5","","24","""[onkron tm5]""","597","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T18:49:32.819Z","https://wordstat.yandex.ru/"
"2","ONKRON","NN24","onkron nn24","","2","""[onkron nn24]""","223","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T18:49:32.819Z","https://wordstat.yandex.ru/"
"3","iTECHmount","PLB440NT","itechmount plb440nt","","4","""[itechmount plb440nt]""","52","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T18:49:32.819Z","https://wordstat.yandex.ru/"
"4","iTECHmount","SLT-440","itechmount slt 440","","3","""[itechmount slt 440]""","24","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T18:49:32.819Z","https://wordstat.yandex.ru/"
"5","iTECHmount","PTRB440LN","itechmount ptrb440ln","","7","""[itechmount ptrb440ln]""","22","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T18:49:32.819Z","https://wordstat.yandex.ru/"
"6","ELTRONIC","10-13","eltronic 10 13","","23","""[eltronic 10 13]""","13","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T18:49:32.819Z","https://wordstat.yandex.ru/"
"7","iTECHmount","SLT-460","itechmount slt 460","itech-slt-460","1","""[itechmount slt 460]""","11","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T18:49:32.819Z","https://wordstat.yandex.ru/"
"8","GoDoo","GD78-446","godoo gd78 446","","13","""[godoo gd78 446]""","0","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T18:49:32.819Z","https://wordstat.yandex.ru/"
"9","iTECHmount","LCDN822","itechmount lcdn822","","16","""[itechmount lcdn822]""","0","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T18:49:32.819Z","https://wordstat.yandex.ru/"
"10","iTECHmount","LCDN832 WHITE","itechmount lcdn832 white","","19","""[itechmount lcdn832 white]""","0","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T18:49:32.819Z","https://wordstat.yandex.ru/"
"11","iTECHmount","P4T","itechmount p4t","","17","""[itechmount p4t]""","0","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T18:49:32.819Z","https://wordstat.yandex.ru/"
"12","iTECHmount","PL2","itechmount pl2","","11","""[itechmount pl2]""","0","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T18:49:32.819Z","https://wordstat.yandex.ru/"
"13","iTECHmount","PLB-64F","itechmount plb 64f","","14","""[itechmount plb 64f]""","0","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T18:49:32.819Z","https://wordstat.yandex.ru/"
"14","iTECHmount","PLB220NT","itechmount plb220nt","","12","""[itechmount plb220nt]""","0","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T18:49:32.819Z","https://wordstat.yandex.ru/"
"15","iTECHmount","PLB640NT","itechmount plb640nt","","8","""[itechmount plb640nt]""","0","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T18:49:32.819Z","https://wordstat.yandex.ru/"
"16","KEIZEN","KZ-20396124","keizen kz 20396124","","15","""[keizen kz 20396124]""","0","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T18:49:32.819Z","https://wordstat.yandex.ru/"
"17","Kivi","Heavy-48T","kivi heavy 48t","","18","""[kivi heavy 48t]""","0","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T18:49:32.819Z","https://wordstat.yandex.ru/"
"18","Kivi","Motion-443A","kivi motion 443a","","6","""[kivi motion 443a]""","0","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T18:49:32.819Z","https://wordstat.yandex.ru/"
"19","Remounts","RM 202F","remounts rm 202f","","22","""[remounts rm 202f]""","0","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T18:49:32.819Z","https://wordstat.yandex.ru/"
