candidate_id,candidate_path,query,variant,operator_query,seo_frequency,returned_phrase,frequency_status,match_method,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"diagonal-50","/kronshteyn-dlya-televizora-50-dyuyma/","!кронштейн для !телевизора 50 !дюймов","diagonal-tail","""[!кронштейн для !телевизора 50 !дюймов]""","1251","кронштейн для телевизора 50 дюймов","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:46:12.246Z","https://wordstat.yandex.ru/"
"diagonal-75","/kronshteyn-dlya-televizora-75-dyuyma/","!кронштейн для !телевизора 75 !дюймов","diagonal-tail","""[!кронштейн для !телевизора 75 !дюймов]""","690","кронштейн для телевизора 75 дюймов","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:46:12.246Z","https://wordstat.yandex.ru/"
"diagonal-85","/kronshteyn-dlya-televizora-85-dyuyma/","!кронштейн для !телевизора 85 !дюймов","diagonal-tail","""[!кронштейн для !телевизора 85 !дюймов]""","401","кронштейн для телевизора 85 дюймов","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:46:12.246Z","https://wordstat.yandex.ru/"
"mount-brand-holder","/kronshteyny-holder/","!кронштейн holder","latin-singular","""[!кронштейн holder]""","1078","кронштейн holder","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:46:12.246Z","https://wordstat.yandex.ru/"
"mount-brand-holder","/kronshteyny-holder/","!кронштейн холдер","cyrillic-singular","""[!кронштейн холдер]""","69","кронштейн холдер","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:46:12.246Z","https://wordstat.yandex.ru/"
"mount-brand-holder","/kronshteyny-holder/","!кронштейны holder","latin-plural","""[!кронштейны holder]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:46:12.246Z","https://wordstat.yandex.ru/"
"mount-brand-itechmount","/kronshteyny-itechmount/","!кронштейн itechmount","full-brand-singular","""[!кронштейн itechmount]""","181","кронштейн itechmount","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:46:12.246Z","https://wordstat.yandex.ru/"
"mount-brand-itechmount","/kronshteyny-itechmount/","!кронштейн itech","short-brand-singular","""[!кронштейн itech]""","24","кронштейн itech","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:46:12.246Z","https://wordstat.yandex.ru/"
"mount-brand-itechmount","/kronshteyny-itechmount/","!кронштейны itechmount","full-brand-plural","""[!кронштейны itechmount]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:46:12.246Z","https://wordstat.yandex.ru/"
"mount-brand-kromax","/kronshteyny-kromax/","!кронштейн kromax","latin-singular","""[!кронштейн kromax]""","2518","кронштейн kromax","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:46:12.246Z","https://wordstat.yandex.ru/"
"mount-brand-kromax","/kronshteyny-kromax/","!кронштейны kromax","latin-plural","""[!кронштейны kromax]""","2518","кронштейны kromax","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:46:12.246Z","https://wordstat.yandex.ru/"
"mount-brand-kromax","/kronshteyny-kromax/","!кронштейн кромакс","cyrillic-singular","""[!кронштейн кромакс]""","253","кронштейн кромакс","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:46:12.246Z","https://wordstat.yandex.ru/"
"mount-brand-kromax","/kronshteyny-kromax/","kromax !кронштейн","brand-first-singular","""[kromax !кронштейн]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:46:12.246Z","https://wordstat.yandex.ru/"
"tv-brand-hisense","/kronshteyn-dlya-televizora-hisense/","!кронштейн для !телевизора hisense","brand-tail","""[!кронштейн для !телевизора hisense]""","526","кронштейн для телевизора hisense","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:46:12.246Z","https://wordstat.yandex.ru/"
"tv-brand-tcl","/kronshteyn-dlya-televizora-tcl/","!кронштейн для !телевизора tcl","brand-tail","""[!кронштейн для !телевизора tcl]""","662","кронштейн для телевизора tcl","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:46:12.246Z","https://wordstat.yandex.ru/"
"tv-brand-xiaomi","/kronshteyn-dlya-televizora-xiaomi/","!кронштейн для !телевизора xiaomi","brand-tail","""[!кронштейн для !телевизора xiaomi]""","539","кронштейн для телевизора xiaomi","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:46:12.246Z","https://wordstat.yandex.ru/"
"vesa-300x300","/vesa/300x300/","!кронштейн vesa 300x300","latin-vesa","""[!кронштейн vesa 300x300]""","231","кронштейн vesa 300x300","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:46:12.246Z","https://wordstat.yandex.ru/"
"vesa-400x300","/vesa/400x300/","!кронштейн vesa 400x300","latin-vesa","""[!кронштейн vesa 400x300]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:46:12.246Z","https://wordstat.yandex.ru/"
"vesa-400x400","/vesa/400x400/","!кронштейн vesa 400x400","latin-vesa","""[!кронштейн vesa 400x400]""","234","кронштейн vesa 400x400","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:46:12.246Z","https://wordstat.yandex.ru/"
"vesa-600x400","/vesa/600x400/","!кронштейн vesa 600x400","latin-vesa","""[!кронштейн vesa 600x400]""","59","кронштейн vesa 600x400","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:46:12.246Z","https://wordstat.yandex.ru/"
