candidate_id,candidate_path,query,variant,operator_query,seo_frequency,returned_phrase,frequency_status,match_method,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"tv-dimensions","/razmery-televizora-po-diagonali/","телевизор 55 дюймов размеры","55","""[телевизор 55 дюймов размеры]""","9787","телевизор 55 дюймов размер","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T08:21:35.352Z","https://wordstat.yandex.ru/"
"tv-dimensions","/razmery-televizora-po-diagonali/","телевизор 65 дюймов размеры","65","""[телевизор 65 дюймов размеры]""","7547","телевизор 65 дюймов размер","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T08:21:35.352Z","https://wordstat.yandex.ru/"
"tv-dimensions","/razmery-televizora-po-diagonali/","ширина телевизора 55 дюймов","55-width","""[ширина телевизора 55 дюймов]""","4913","ширина телевизора 55 дюймов","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T08:21:35.352Z","https://wordstat.yandex.ru/"
"tv-dimensions","/razmery-televizora-po-diagonali/","телевизор 43 дюйма размеры","43","""[телевизор 43 дюйма размеры]""","4703","телевизор 43 дюйма размеры","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T08:21:35.352Z","https://wordstat.yandex.ru/"
"tv-dimensions","/razmery-televizora-po-diagonali/","телевизор 50 дюймов размеры","50","""[телевизор 50 дюймов размеры]""","4619","телевизор 50 дюймов размеры","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T08:21:35.352Z","https://wordstat.yandex.ru/"
"tv-dimensions","/razmery-televizora-po-diagonali/","диагональ телевизора в см таблица","table","""[диагональ телевизора в см таблица]""","4270","диагонали телевизоров в см таблица","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T08:21:35.352Z","https://wordstat.yandex.ru/"
"tv-dimensions","/razmery-televizora-po-diagonali/","телевизор 75 дюймов размеры","75","""[телевизор 75 дюймов размеры]""","4053","телевизор 75 дюймов размеры","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T08:21:35.352Z","https://wordstat.yandex.ru/"
"tv-dimensions","/razmery-televizora-po-diagonali/","55 дюймов сколько см","55-convert","""[55 дюймов сколько см]""","3670","55 дюймов сколько см","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T08:21:35.352Z","https://wordstat.yandex.ru/"
"tv-dimensions","/razmery-televizora-po-diagonali/","размеры телевизоров в сантиметрах таблица","table","""[размеры телевизоров в сантиметрах таблица]""","2945","размеры телевизоров в сантиметрах таблица","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T08:21:35.352Z","https://wordstat.yandex.ru/"
"tv-dimensions","/razmery-televizora-po-diagonali/","высота телевизора 55 дюймов","55-height","""[высота телевизора 55 дюймов]""","2822","высота телевизора 55 дюймов","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T08:21:35.352Z","https://wordstat.yandex.ru/"
"tv-dimensions","/razmery-televizora-po-diagonali/","как измерить диагональ телевизора","measure","""[как измерить диагональ телевизора]""","2679","как измерить диагональ телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T08:21:35.352Z","https://wordstat.yandex.ru/"
"tv-dimensions","/razmery-televizora-po-diagonali/","размеры телевизора по диагонали","head","""[размеры телевизора по диагонали]""","2108","размеры телевизоров по диагонали","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T08:21:35.352Z","https://wordstat.yandex.ru/"
"tv-dimensions","/razmery-televizora-po-diagonali/","как узнать диагональ телевизора","measure","""[как узнать диагональ телевизора]""","1971","как узнать диагональ телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T08:21:35.352Z","https://wordstat.yandex.ru/"
"tv-dimensions","/razmery-televizora-po-diagonali/","размер телевизора 55 дюймов в сантиметрах","55-size","""[размер телевизора 55 дюймов в сантиметрах]""","1667","размеры телевизора 55 дюймов в сантиметрах","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T08:21:35.352Z","https://wordstat.yandex.ru/"
"tv-dimensions","/razmery-televizora-po-diagonali/","телевизор 85 дюймов размеры","85","""[телевизор 85 дюймов размеры]""","1504","телевизор 85 дюймов размер","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T08:21:35.352Z","https://wordstat.yandex.ru/"
"tv-dimensions","/razmery-televizora-po-diagonali/","ширина телевизора по диагонали","width","""[ширина телевизора по диагонали]""","700","ширина телевизора по диагонали","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T08:21:35.352Z","https://wordstat.yandex.ru/"
"tv-dimensions","/razmery-televizora-po-diagonali/","размер экрана телевизора в сантиметрах","screen","""[размер экрана телевизора в сантиметрах]""","565","размер экранов телевизоров в сантиметрах","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T08:21:35.352Z","https://wordstat.yandex.ru/"
"tv-dimensions","/razmery-televizora-po-diagonali/","высота телевизора по диагонали","height","""[высота телевизора по диагонали]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T08:21:35.352Z","https://wordstat.yandex.ru/"
"tv-dimensions","/razmery-televizora-po-diagonali/","диагональ 55 дюймов сколько см","55-convert","""[диагональ 55 дюймов сколько см]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T08:21:35.352Z","https://wordstat.yandex.ru/"
"tv-dimensions","/razmery-televizora-po-diagonali/","диагональ телевизора как измерить","measure","""[диагональ телевизора как измерить]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T08:21:35.352Z","https://wordstat.yandex.ru/"
