demand_rank,brand,model,series,diagonal_inches,operator_query,seo_frequency,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"1","Hisense","55U7S","U7S","55","""[55U7S]""","12870","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"2","Hisense","65U7S","U7S","65","""[65U7S]""","7798","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"3","Hisense","55U7S PRO","U7S PRO","55","""[55U7S PRO]""","5907","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"4","Hisense","55E77SL","E77SL","55","""[55E77SL]""","5816","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"5","Hisense","50U77SL","U77SL","50","""[50U77SL]""","4633","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"6","Samsung","UE55U8000FUXRU","U8000F","55","""[UE55U8000FUXRU]""","4507","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"7","Hisense","43E7S","E7S","43","""[43E7S]""","4457","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"8","Hisense","50E7S","E7S","50","""[50E7S]""","3976","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"9","Hisense","55E7S","E7S","55","""[55E7S]""","3852","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"10","Samsung","UE43U8000FUXRU","U8000F","43","""[UE43U8000FUXRU]""","3694","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"11","Samsung","UE50U8000FUXRU","U8000F","50","""[UE50U8000FUXRU]""","3321","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"12","Samsung","QE43Q7FAAUXRU","Q7F","43","""[QE43Q7FAAUXRU]""","2686","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"13","Samsung","QE50Q7FAAUXRU","Q7F","50","""[QE50Q7FAAUXRU]""","2437","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"14","Samsung","UE32F6000FUXRU","F6000F","32","""[UE32F6000FUXRU]""","2241","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"15","LG","50QNED85B6A","QNED85","50","""[50QNED85B6A]""","2063","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"16","LG","OLED55C5RLA","OLED C5","55","""[OLED55C5RLA]""","1987","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"17","LG","43QNED80B6B","QNED80","43","""[43QNED80B6B]""","1980","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"18","LG","55QNED83B6A","QNED83","55","""[55QNED83B6A]""","1547","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"19","LG","55QNED86A6A","QNED86","55","""[55QNED86A6A]""","1480","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"20","Samsung","QE65S85FAEXRU","S85F","65","""[QE65S85FAEXRU]""","1419","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"21","LG","65QNED86A6A","QNED86","65","""[65QNED86A6A]""","1400","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"22","LG","55QNED85B6C","QNED85","55","""[55QNED85B6C]""","1223","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"23","Samsung","QE55Q7F5AUXRU","Q7F5","55","""[QE55Q7F5AUXRU]""","1157","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"24","LG","50QNED80B6B","QNED80","50","""[50QNED80B6B]""","1057","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"25","Xiaomi","Xiaomi TV A 43 2025","TV A 2025","43","""[Xiaomi TV A 43 2025]""","915","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
"26","Samsung","UE65U8000FUXRU","U8000F","65","""[UE65U8000FUXRU]""","912","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T16:42:11.101Z","https://wordstat.yandex.ru/"
