demand_rank,brand,model,series,diagonal_inches,operator_query,seo_frequency,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"1","TCL","55C6K","C6K","55","""[55C6K]""","17607","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"2","TCL","55C7L","C7L","55","""[55C7L]""","8044","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"3","Hisense","55U7Q","U7Q","55","""[55U7Q]""","5026","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"4","TCL","55C7K","C7K","55","""[55C7K]""","4717","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"5","TCL","75C6K","C6K","75","""[75C6K]""","4314","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"6","Hisense","65U77SL","U77SL","65","""[65U77SL]""","3995","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"7","TCL","65C7K","C7K","65","""[65C7K]""","3355","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"8","TCL","55P6K","P6K","55","""[55P6K]""","3181","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"9","Hisense","65U8Q","U8Q","65","""[65U8Q]""","2619","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"10","TCL","55P7K","P7K","55","""[55P7K]""","2610","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"11","TCL","43S5K","S5K","43","""[43S5K]""","2280","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"12","Hisense","65U7Q","U7Q","65","""[65U7Q]""","2105","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"13","Hisense","65UR9S","UR9S","65","""[65UR9S]""","2054","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"14","Samsung","QE43QEF1AUXRU","QEF1","43","""[QE43QEF1AUXRU]""","1569","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"15","Samsung","QE55QN70FAUXRU","QN70F","55","""[QE55QN70FAUXRU]""","1502","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"16","Samsung","QE43Q8FAAUXRU","Q8F","43","""[QE43Q8FAAUXRU]""","1352","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"17","Samsung","UE43F6000FUXRU","F6000F","43","""[UE43F6000FUXRU]""","1303","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"18","LG","OLED65C5RLA","OLED C5","65","""[OLED65C5RLA]""","1275","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"19","Samsung","QE55S85FAEXRU","S85F","55","""[QE55S85FAEXRU]""","1059","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"20","Samsung","QE55Q7FAAUXRU","Q7F","55","""[QE55Q7FAAUXRU]""","982","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"21","Hisense","55U8Q","U8Q","55","""[55U8Q]""","950","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"22","LG","OLED42C5RLA","OLED C5","42","""[OLED42C5RLA]""","940","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"23","LG","OLED55G5RLA","OLED G5","55","""[OLED55G5RLA]""","928","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"24","Samsung","QE65S90FAEXRU","S90F","65","""[QE65S90FAEXRU]""","925","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"25","Samsung","QE65QN70FAUXRU","QN70F","65","""[QE65QN70FAUXRU]""","907","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"26","Samsung","QE55S90FAUXRU","S90F","55","""[QE55S90FAUXRU]""","892","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"27","Samsung","QE75Q7FAAUXRU","Q7F","75","""[QE75Q7FAAUXRU]""","891","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"28","TCL","32A400 PRO","A400 PRO","32","""[32A400 PRO]""","884","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
"29","LG","43QNED82A6B","QNED82","43","""[43QNED82A6B]""","853","225","Россия","последние 30 дней на дату сбора","все устройства","2026-07-30T17:06:10.526Z","https://wordstat.yandex.ru/"
