candidate_id,candidate_path,query,variant,operator_query,seo_frequency,returned_phrase,frequency_status,match_method,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"wall-planner-broad","/televizor-na-stene/","телевизор на стене","broad","""[телевизор на стене]""","88002","телевизор на стене","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T07:19:53.345Z","https://wordstat.yandex.ru/"
"wall-planner-cabinet","/televizor-na-stene/","телевизор на стене над тумбой","cabinet","""[телевизор на стене над тумбой]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T07:19:53.345Z","https://wordstat.yandex.ru/"
"wall-planner-cabinet-gap","/televizor-na-stene/","расстояние от телевизора до тумбы","cabinet-gap","""[расстояние от телевизора до тумбы]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T07:19:53.345Z","https://wordstat.yandex.ru/"
"wall-planner-design","/televizor-na-stene/","дизайн стены с телевизором","design","""[дизайн стены с телевизором]""","692","дизайн стены с телевизором","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T07:19:53.345Z","https://wordstat.yandex.ru/"
"wall-planner-floor-height","/televizor-na-stene/","высота телевизора на стене от пола","floor-height","""[высота телевизора на стене от пола]""","2627","высота телевизора на стене от пола","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T07:19:53.345Z","https://wordstat.yandex.ru/"
"wall-planner-interior","/televizor-na-stene/","стена с телевизором в интерьере","interior","""[стена с телевизором в интерьере]""","120","стена с телевизором в интерьере","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T07:19:53.345Z","https://wordstat.yandex.ru/"
"wall-planner-layout","/televizor-na-stene/","расположение телевизора на стене","layout","""[расположение телевизора на стене]""","257","расположение телевизора на стене","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T07:19:53.345Z","https://wordstat.yandex.ru/"
"wall-planner-place","/televizor-na-stene/","разместить телевизор на стене","place","""[разместить телевизор на стене]""","199","разместить телевизор на стене","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T07:19:53.345Z","https://wordstat.yandex.ru/"
"wall-planner-preview","/televizor-na-stene/","примерить телевизор на стену","preview","""[примерить телевизор на стену]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T07:19:53.345Z","https://wordstat.yandex.ru/"
"wall-planner-size","/televizor-na-stene/","подобрать размер телевизора на стену","size","""[подобрать размер телевизора на стену]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T07:19:53.345Z","https://wordstat.yandex.ru/"
