keyword_id,seed_query,keyword,seo_frequency,seo_region,seo_period,seo_devices,observed_at,source,relevance
sockets-001,розетки под телевизор,розетки под телевизор,4042,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-002,розетки под телевизор,высота розеток под телевизор,1760,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-003,розетки за телевизором,розетки за телевизором,1527,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-004,розетки под телевизор,розетки под телевизор на стене,1209,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-005,розетки под телевизор,какие розетки под телевизор,841,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-006,розетки под телевизор,розетки под телевизор на стене высота,764,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-007,розетки под телевизор,розетка под телевизор на какой высоте,599,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-008,розетки под телевизор,делаем розетки под телевизор,406,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-009,розетки за телевизором,розетки за телевизором на стене,340,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-010,розетки под телевизор,розетка в спальне под телевизор,324,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-011,розетки под телевизор,какие розетки делать под телевизор,305,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-012,розетки под телевизор,высота розетки под телевизор в спальне,283,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-013,розетки под телевизор,розетки от пола под телевизор,266,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-014,розетки под телевизор,на какой высоте делать розетки под телевизор,260,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-015,розетки за телевизором,какие розетки за телевизором,215,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-016,розетки за телевизором,высота розеток за телевизором,207,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-017,розетки под телевизор,какие розетки под телевизор на стене,199,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-018,розетки под телевизор,высота розеток от пола под телевизор,168,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-019,розетки под телевизор,сколько розеток под телевизор,149,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-020,розетки под телевизор,расстояние розетки под телевизор,131,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-021,розетки под телевизор,розетка под кабель телевизора,117,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-022,розетки за телевизором,сколько розеток за телевизором,115,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-023,розетки под телевизор,розетки под телевизор в гостиной,112,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-024,розетки за телевизором,правильные розетки за телевизором,109,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-025,розетки под телевизор,розетки под подвесной телевизор,106,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-026,розетки под телевизор,высота розеток под телевизор в гостиной,101,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-027,розетки под телевизор,как сделать розетку под телевизор,100,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-028,розетки под телевизор,розетка под антенну телевизора,88,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-029,розетки за телевизором,на какой высоте розетки за телевизором,80,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-030,розетки за телевизором,как расположить розетки за телевизором,75,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-031,розетки под телевизор,на каком расстоянии розетки под телевизор,75,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-032,розетки под телевизор,размеры розеток под телевизор,69,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-033,розетки за телевизором,как сделать розетки за телевизором,68,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-034,розетки под телевизор,спрятать розетки под телевизором,68,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-035,розетки за телевизором,высота розеток за телевизором на стене,65,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-036,розетки под телевизор,сколько розеток нужно под телевизор,64,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-037,розетки за телевизором,как разместить розетки за телевизором,62,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-038,розетки под телевизор,скрытые розетки под телевизор,62,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-039,розетки под телевизор,стандарт розетки под телевизор,59,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-040,розетки под телевизор,розетки под кронштейн телевизора,59,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-041,розетки за телевизором,розетка для проводов за телевизором,57,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-042,розетки под телевизор,установка розетки под телевизор,56,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-043,розетки за телевизором,расположение розеток за телевизором,51,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-044,розетки за телевизором,розетки за кронштейном телевизора,43,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-045,розетки под телевизор,розетка под телевизор расположение,42,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-046,розетки под телевизор,блок розеток под телевизор,40,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-047,розетки за телевизором,интернет розетка за телевизором,35,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-048,розетки за телевизором,как правильно разместить розетки за телевизором,34,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-049,розетки за телевизором,какие розетки нужны за телевизором,33,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
sockets-050,розетки за телевизором,сколько розеток нужно за телевизором,31,Russia (225),Wordstat Top queries / last month,all / unspecified,2026-07-30,XMLRiver Wordstat words,relevant
