brand,exact_sku,diagonal_in,official_discovery_source,official_source_type,exact_sku_found_open_icecat,icecat_returned_sku,icecat_http_status,vesa_mm,weight_without_stand_kg,body_width_without_stand_mm,body_height_without_stand_mm,body_depth_without_stand_mm,icecat_query_url,icecat_license_attribution,checked_date,notes
Samsung,QE55QEF1AUXRU,55,https://www.samsung.com/ru/tvs/qled-tv/qef1-55-inch-qled-4k-smart-tv-qe55qef1auxru/,manufacturer_ru_product_page,no,,404,,,,,,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=Samsung&productcode=QE55QEF1AUXRU,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,Exact Russian XRU SKU was not returned by the public Open Icecat endpoint
Samsung,QE55QN1EFAUXRU,55,https://www.samsung.com/ru/tvs/qled-tv/qn1ef-55-inch-neo-qled-4k-mini-led-smart-tv-qe55qn1efauxru/,manufacturer_ru_product_page,no,,404,,,,,,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=Samsung&productcode=QE55QN1EFAUXRU,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,Exact Russian XRU SKU was not returned by the public Open Icecat endpoint
Samsung,QE55Q7F5AUXRU,55,https://www.samsung.com/ru/tvs/qled-tv/q7f-55-inch-qled-4k-smart-tv-qe55q7f5auxru/,manufacturer_ru_product_page,no,,404,,,,,,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=Samsung&productcode=QE55Q7F5AUXRU,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,Exact Russian XRU SKU was not returned by the public Open Icecat endpoint
Samsung,UE55U8000FUXRU,55,https://www.samsung.com/ru/tvs/uhd-4k-tv/u8000f-55-inch-crystal-uhd-4k-smart-tv-ue55u8000fuxru/,manufacturer_ru_product_page,no,,404,,,,,,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=Samsung&productcode=UE55U8000FUXRU,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,Exact Russian XRU SKU was not returned by the public Open Icecat endpoint
Samsung,QE55QN90FAUXRU,55,https://www.samsung.com/ru/tvs/qled-tv/qn90f-55-inch-neo-qled-4k-mini-led-smart-tv-qe55qn90fauxru/,manufacturer_ru_product_page,no,,404,,,,,,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=Samsung&productcode=QE55QN90FAUXRU,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,Exact Russian XRU SKU was not returned by the public Open Icecat endpoint
LG,55NANO80A6B,55,https://www.lg.com/ru/televisions/lg-55nano80a6b,manufacturer_ru_product_page,yes,55NANO80A6B,200,300x300,14,1235,715,57.5,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=LG&productcode=55NANO80A6B,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,Exact brand and SKU match
LG,55QNED80A6A,55,https://www.lg.com/ru/televisions/lg-55qned80a6a,manufacturer_ru_product_page,no,55QNED80A6A.AEU,200,,,,,,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=LG&productcode=55QNED80A6A,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,Near-match rejected because Icecat appended regional suffix .AEU
LG,55QNED86A6A,55,https://www.lg.com/ru/televisions/lg-55qned86a6a,manufacturer_ru_product_page,no,,404,,,,,,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=LG&productcode=55QNED86A6A,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,Exact SKU was not returned by the public Open Icecat endpoint
LG,OLED55B5RLA,55,https://www.lg.com/ru/televisions/lg-oled55b5rla,manufacturer_ru_product_page,no,,404,,,,,,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=LG&productcode=OLED55B5RLA,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,Exact SKU was not returned by the public Open Icecat endpoint
LG,OLED55C5RLA,55,https://www.lg.com/ru/televisions/lg-oled55c5rla,manufacturer_ru_product_page,no,,404,,,,,,https://live.icecat.biz/api/?shopname=openIcecat-live&lang=en&content=essentialinfo%2Cfeaturegroups&brand=LG&productcode=OLED55C5RLA,"Open Icecat Content License v1.4; on reuse: Specs Icecat link + AS IS disclaimer; registered account required; no ML training",2026-07-30,Exact SKU was not returned by the public Open Icecat endpoint
