batch,phrase,forecast_queries,traffic_volume,avg_bid_rub,charged_amount_rub,ctr_percent,impressions,clicks,budget_rub,region,period,platforms,currency,captured_at,source
1,как повесить телевизор на гипсокартонную стену,368,100,100.90,14.80,1.40,356,5,74.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.944Z,Яндекс Директ — Оценка бюджета кампании
1,как повесить телевизор на гипсокартонную стену,368,85,57.00,9.40,1.49,336,5,47.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,как повесить телевизор на гипсокартонную стену,368,62,46.00,7.80,1.53,327,5,39.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,как повесить телевизор на гипсокартонную стену,368,9,130.20,3.20,0.59,339,2,6.40,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,как повесить телевизор на гипсокартонную стену,368,5,130.20,3.20,0.59,339,2,6.40,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,как правильно повесить телевизор на стену,730,100,68.40,13.20,1.66,602,10,132.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,как правильно повесить телевизор на стену,730,85,29.10,8.60,1.70,528,9,77.40,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,как правильно повесить телевизор на стену,730,62,29.10,8.60,1.70,528,9,77.40,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,как правильно повесить телевизор на стену,730,9,107.90,9.10,0.50,599,3,27.30,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,как правильно повесить телевизор на стену,730,5,105.10,9.10,0.50,598,3,27.30,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,крепление для телевизора на стену -поворот,7028,100,181.00,18.00,6.41,5414,347,6246.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,крепление для телевизора на стену -поворот,7028,85,68.10,12.50,6.15,5304,326,4075.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,крепление для телевизора на стену -поворот,7028,62,52.10,10.70,5.94,5234,311,3327.70,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,крепление для телевизора на стену -поворот,7028,9,87.60,14.70,0.52,3824,20,294.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,крепление для телевизора на стену -поворот,7028,5,85.60,14.50,0.53,3809,20,290.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,крепление для телевизора на стену с поворотом,543,100,120.10,12.50,7.30,452,33,412.50,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,крепление для телевизора на стену с поворотом,543,85,54.90,9.70,6.77,443,30,291.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,крепление для телевизора на стену с поворотом,543,62,39.70,8.80,6.68,434,29,255.20,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,крепление для телевизора на стену с поворотом,543,9,78.60,8.60,0.88,340,3,25.80,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,крепление для телевизора на стену с поворотом,543,5,71.40,8.40,0.89,338,3,25.20,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для тв onkron tm6 черный,108,100,692.80,67.20,9.65,114,11,739.20,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для тв onkron tm6 черный,108,85,113.30,17.90,8.04,112,9,161.10,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для тв onkron tm6 черный,108,62,75.50,13.80,7.41,108,8,110.40,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для тв onkron tm6 черный,108,9,314.20,6.50,4.44,45,2,13.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для тв onkron tm6 черный,108,5,313.20,6.50,4.44,45,2,13.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора 32,4768,100,268.10,20.10,7.33,2441,179,3597.90,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
1,кронштейн для телевизора 32,4768,85,83.60,14.00,7.08,2402,170,2380.00,Россия,30 дней,все,RUB,2026-07-30T08:51:45.949Z,Яндекс Директ — Оценка бюджета кампании
