observed_rank,page,page_rank,market_product_id,brand,model_candidate,model_candidate_confidence,market_title,purchase_count,purchase_label,rating_value,rating_count,sponsored,currently_listed,already_in_catalog,catalog_model_id,catalog_model,market_url,observed_at
"1","1","1","1110223271","Hi","HT-32H01FB","high","Телевизор Hi HT-32H01FB","8900","8.9K купили","4.599999904632568","2728","true","true","false","","","https://market.yandex.ru/card/televizor-hi-ht-32h01fb/1110223271","2026-08-04T19:21:38.566Z"
"2","1","2","5446820981","BBK","24LEM-1047/TS2C","high","LED-телевизор BBK 24LEM-1047/TS2C, диагональ 24 дюйма, разрешение 1366х768, белый","159","159 купили","4.800000190734863","28","true","true","false","","","https://market.yandex.ru/card/led-televizor-bbk-24lem-1047ts2c-diagonal-24-dyuyma-razresheniye-1366kh768-belyy/5446820981","2026-08-04T19:21:38.566Z"
"3","1","3","95843083","Haier","S2","medium","Телевизор Haier 32"" LED S2, Smart TV, Android 11, Wi-Fi, Bluetooth, голосовой поиск, Full HD, черный","1500","1.5K купили","4.800000190734863","306","true","true","false","","","https://market.yandex.ru/card/televizor-haier-32-led-s2/95843083","2026-08-04T19:21:38.566Z"
"4","1","4","5735194159","Витязь","D24HN01BF","high","Телевизор Витязь D24HN01BF, черный","16","16 купили","4.199999809265137","5","true","true","false","","","https://market.yandex.ru/card/televizor-vityaz-d24hn01bf-chernyy/5735194159","2026-08-04T19:21:38.566Z"
"5","1","5","1827561750","STARWIND","SW-LED32BG200","high","Телевизор Starwind SW-LED32BG200 32"" LED, HD, черный","10900","10.9K купили","4.699999809265137","5449","true","true","false","","","https://market.yandex.ru/card/televizor-led-starwind-32-sw-led32bg200-60-gts-chernyy/1827561750","2026-08-04T19:21:38.566Z"
"6","1","6","5717719779","GENERAL ELECTRONICS","GE24LHN0","high","Телевизор General Electronics GE24LHN0","561","561 купили","4.699999809265137","118","true","true","false","","","https://market.yandex.ru/card/televizor-general-electronics-ge24lhn0/5717719779","2026-08-04T19:21:38.566Z"
"7","1","7","5769987456","Hisense","32E44SL","high","Телевизор 32 дюйма Hisense 32E44SL (2026) Смарт ТВ HD","1100","1.1K купили","4.900000095367432","181","true","true","false","","","https://market.yandex.ru/card/televizor-hisense-32e44sl/5769987456","2026-08-04T19:21:38.566Z"
"8","1","8","1388541761","SBER","SDX-32H3114","high","Умный телевизор Sber SDX-32H3114","2000","2K купили","4.800000190734863","582","true","true","false","","","https://market.yandex.ru/card/umnyy-televizor-sber-sdx-32h3114/1388541761","2026-08-04T19:21:38.566Z"
"9","2","1","5650604432","Hisense","32E55SL","high","Телевизор 32 дюйма Hisense 32E55SL (2026) Смарт ТВ HD","735","735 купили","4.800000190734863","100","true","true","false","","","https://market.yandex.ru/card/televizor-hisense-32e55sl/5650604432","2026-08-04T19:21:38.566Z"
"10","2","2","5602282654","artel","UA32H4101","high","Телевизор Artel UA32H4101","45","45 купили","4.900000095367432","12","true","true","false","","","https://market.yandex.ru/card/televizor-artel-ua32h4101/5602282654","2026-08-04T19:21:38.566Z"
